0	1	1
0	2	1
1	2	1
1	3	1
2	3	1
0	4	1
4	5	1
0	6	1
4	6	1
0	7	1
0	8	1
5	8	1
6	8	1
7	8	1
0	9	1
2	9	1
3	9	1
4	9	1
6	9	1
8	9	1
0	10	1
1	10	1
2	10	1
3	10	1
9	10	1
0	11	1
5	11	1
6	11	1
1	12	1
3	12	1
6	12	1
10	12	1
11	12	1
1	13	1
12	13	1
1	14	1
2	14	1
3	14	1
6	14	1
9	14	1
10	14	1
11	15	1
12	15	1
5	16	1
8	16	1
11	16	1
3	17	1
5	17	1
6	17	1
8	17	1
9	17	1
10	17	1
11	17	1
12	17	1
14	17	1
15	17	1
3	18	1
5	18	1
6	18	1
8	18	1
11	18	1
15	18	1
17	18	1
3	19	1
6	19	1
9	19	1
2	20	1
6	20	1
8	20	1
10	20	1
17	20	1
18	20	1
6	21	1
17	21	1
18	21	1
9	23	1
22	23	1
22	24	1
23	25	1
24	25	1
6	26	1
8	26	1
9	26	1
19	26	1
19	27	1
26	27	1
27	28	1
6	29	1
9	29	1
19	29	1
26	29	1
27	29	1
6	30	1
